[10:07:06.519]B!&™ä‚Å10   8  49 # 0  0   11   10 
[10:07:18.362]1 |  989 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.463]1 |  989 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.565]1 |  989 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 0 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.665]1 |  990 | 1 |    1    0 | 0 |  29  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.763]1 |  989 | 1 |   -1    0 | 0 |  28  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.865]1 |  989 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:18.965]1 |  989 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.063]1 |  990 | 1 |    1    0 | 0 |  26  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.163]1 |  990 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.266]1 |  990 | 1 |    0    0 | 0 |  24  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.362]1 |  991 | 1 |    1    0 | 0 |  24  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.466]1 |  991 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 :10 : 1 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.564]1 |  991 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.665]1 |  991 | 1 |    0    0 | 0 |  30  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.763]1 |  992 | 1 |    1    0 | 0 |  30  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.865]1 |  992 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:19.966]1 |  992 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.065]1 |  992 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.165]1 |  992 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.265]1 |  992 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.365]1 |  992 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.462]1 |  992 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.563]1 |  992 | 1 |    0    0 | 0 |  25  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.665]1 |  992 | 1 |    0    0 | 0 |  27  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.764]1 |  992 | 1 |    0    0 | 0 |  28  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.864]1 |  992 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:20.965]1 |  993 | 1 |    1    0 | 0 |  27  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:21.065]1 |  993 | 1 |    0    0 | 0 |  26  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:21.165]1 |  993 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 2 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:21.263]1 |  993 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 3 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
[10:07:21.363]1 |  993 | 1 |    0    0 | 0 |  29  0 | 0  0 | 10 :10 : 3 | 2  0  2 #  836 # 10  10   0 |255 255 255 # 0  0   11   10 
